,Original URL,Tweets,Final URL,HTTP Status
92,http://www.rightrelevance.com/search/articles/hero?article=040a8fd56dceb89e1330e377ae6c2578b92ebb2a&query=michigan%20state%20spartans&taccount=lansingmirr,1,https://www.rightrelevance.com/search/articles/hero?article=040a8fd56dceb89e1330e377ae6c2578b92ebb2a&query=michigan%20state%20spartans&taccount=lansingmirr,200
93,http://news.quiboat.com/Ob75Ktk7,1,http://news.quiboat.com/Ob75Ktk7,404
94,http://lestweforgetuk.tumblr.com/post/164176767391/news-story-foreign-secretary-condemns-murder-of,2,https://lestweforgetuk.tumblr.com/post/164176767391/news-story-foreign-secretary-condemns-murder-of#_=_,404
95,http://www.1clickdaily.com/1257880,1,http://www.1clickdaily.com/1257880,404
96,http://www.truepatriot.net/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/,1,http://www.truepatriot.net/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/,200
97,http://www.informationclearinghouse.info/47400.htm#.WWM-x9e-O_M.twitter,24,http://www.informationclearinghouse.info/47400.htm#.WWM-x9e-O_M.twitter,200
98,http://brazil.timesofnews.com/white-helmets-rescuers-shot-dead-in-syria-attack.html,1,http://brazil.timesofnews.com/white-helmets-rescuers-shot-dead-in-syria-attack.html,403
99,http://feeds.feedburner.com/~r/RememberThe14Words/~3/0S4HOypGFZo/,1,https://fuhrerious88blog.wordpress.com/2017/06/24/impartial-and-humanitarian-white-helmets-participating-in-the-beheading-and-throwing-of-syrian-soldiers-bodies-at-a-dumpster-in-daraa/,410
100,https://noesis2017.com/2017/06/24/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video-rt-news/,3,https://noesis2017.com/2017/06/24/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video-rt-news/,200
101,http://21stcenturywire.com/2017/05/26/john-pilger-exposes-white-helmets-as-uk-propaganda-construct-in-syria/,364,https://21stcenturywire.com/2017/05/26/john-pilger-exposes-white-helmets-as-uk-propaganda-construct-in-syria/,403
102,http://www.theamericanconservative.com/articles/ex-weapons-inspector-trumps-sarin-claims-built-on-lie/,120,https://www.theamericanconservative.com/articles/ex-weapons-inspector-trumps-sarin-claims-built-on-lie/,403
103,https://www.podomatic.com/podcasts/21wire/episodes/2017-08-04T13_22_09-07_00,7,https://www.podomatic.com/podcasts/21wire/episodes/2017-08-04T13_22_09-07_00,200
104,http://www.dailymail.co.uk/wires/ap/article-4786524/The-Latest-Rebels-fighting-Damascus-suburbs-kill-20.html,2,https://www.dailymail.co.uk/wires/ap/article-4786524/The-Latest-Rebels-fighting-Damascus-suburbs-kill-20.html,200
105,https://www.google.com/url?rct=j&sa=t&url=http%3A%2F%2Fwww.visordown.com%2Fmotorcycle-news-general-news%2Fend-road-white-helmets&ct=ga&cd=CAIyHDFjMmMxOGNkZDlhODUyY2M6Y28udWs6ZW46R0I&usg=AFQjCNEIwEd43_-sBhy31dhnxCV4z4jzfg,1,https://www.google.com/url?rct=j&sa=t&url=http%3A%2F%2Fwww.visordown.com%2Fmotorcycle-news-general-news%2Fend-road-white-helmets&ct=ga&cd=CAIyHDFjMmMxOGNkZDlhODUyY2M6Y28udWs6ZW46R0I&usg=AFQjCNEIwEd43_-sBhy31dhnxCV4z4jzfg,200
106,http://adf.ly/10512945/http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=AaOQWYjtPI-b3QGm8ZKwBA&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,1,http://atharori.net/suspended?a=1&u=10512945,200
107,http://www.ipsnews.net/2016/08/133-organisations-nominate-syrias-white-helmets-for-nobel-peace-prize/,5,http://www.ipsnews.net/2016/08/133-organisations-nominate-syrias-white-helmets-for-nobel-peace-prize/,200
108,https://www.salon.com/2017/05/25/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-held-executions-in-rebel-held-syria_partner/,39,https://www.salon.com/2017/05/25/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-held-executions-in-rebel-held-syria_partner/,200
109,http://www.foxnews.com/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,80,https://www.foxnews.com/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,404
110,https://www.rt.com/news/378695-oscar-white-helmets-win/,4,https://www.rt.com/news/378695-oscar-white-helmets-win/,200
111,http://www.independent.co.uk/news/uk/politics/lords-stunned-by-tory-peers-ira-funding-claim-2126723.html,1,http://www.independent.co.uk/news/uk/politics/lords-stunned-by-tory-peers-ira-funding-claim-2126723.html,404
112,http://21stcenturywire.com/2017/06/21/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4/,924,https://21stcenturywire.com/2017/06/21/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4/,403
113,https://1newsnet.com/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,1,https://1newsnet.com/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,404
114,https://www.telesurtv.net/english/news/Rhymes-Reasons-Interview-with-Vanessa-Beeley-20170802-0010.html,49,https://www.telesurenglish.net/,200
115,http://www.lasvegasnvblog.com,3,http://www.lasvegasnvblog.com/,200
116,https://deazijnpisser.blogspot.com/2017/07/the-fraud-of-white-helmets.html,7,https://deazijnpisser.blogspot.com/2017/07/the-fraud-of-white-helmets.html,200
117,https://www.yahoo.com/news/7-white-helmets-members-shot-dead-northwestern-syria-090426442.html,59,https://www.yahoo.com/news/7-white-helmets-members-shot-dead-northwestern-syria-090426442.html,404
118,https://politicalfilm.wordpress.com/2017/06/21/white-helmets-more-atrocities/,5,https://politicalfilm.wordpress.com/2017/06/21/white-helmets-more-atrocities/,200
119,https://theintercept.com/2017/08/09/gulf-government-gave-secret-20-million-gift-to-d-c-think-tank/,93,https://theintercept.com/2017/08/09/gulf-government-gave-secret-20-million-gift-to-d-c-think-tank/,200
120,https://drive.google.com/file/d/0B3teim0yZokqM01TOVE3RTNfZlE/view,1,https://drive.google.com/file/d/0B3teim0yZokqM01TOVE3RTNfZlE/view,200
121,http://www.hnvnews.com/newsdetail/623032_news,1,https://www.hnvnews.com/newsdetail/623032_news,404
122,http://www.1clickdaily.com/636692,1,http://www.1clickdaily.com/636692,404
123,http://www.dailymail.co.uk/news/article-4784600/amp/White-Helmets-rescuers-shot-dead-Syria.html,348,https://www.dailymail.co.uk/news/article-4784600/amp/White-Helmets-rescuers-shot-dead-Syria.html,200
124,http://www.mintpressnews.com/james-le-mesurier-british-ex-military-mercenary-founded-white-helmets/230320/,685,https://www.mintpressnews.com/james-le-mesurier-british-ex-military-mercenary-founded-white-helmets/230320/,200
125,https://getpocket.com/s/MB5WZ,1,https://21stcenturywire.com/2017/05/19/white-helmets-blasphemous-whitewash-of-their-execution-black-record/,403
126,https://1newsnet.com/seven-white-helmets-medics-killed-in-syrias-idlib/,1,https://1newsnet.com/seven-white-helmets-medics-killed-in-syrias-idlib/,404
127,http://www.blacklistednews.com/The_Fraud_of_the_White_Helmets/59520/0/38/38/Y/M.html,6,https://www.blacklistednews.com/The_Fraud_of_the_White_Helmets/59520/0/38/38/Y/M.html,200
128,http://www.hispantv.com/newsdetail/htv/345452/casco-blanco-deshacer-cuerpo-decapitado-soldados-ejercito,2,http://www.hispantv.com/noticias/siria/345452/casco-blanco-deshacer-cuerpo-decapitado-soldados-ejercito,200
129,http://www.nbcnews.com/storyline/isis-terror/7-white-helmets-medics-killed-syria-s-idlib-n792046?cid=public-rss_20170815,316,https://www.nbcnews.com/storyline/isis-terror/7-white-helmets-medics-killed-syria-s-idlib-n792046?cid=public-rss_20170815,200
130,http://beforeitsnews.com/economy/2017/07/the-fraud-of-the-white-helmets-2900794.html,7,https://beforeitsnews.com/economy/2017/07/the-fraud-of-the-white-helmets-2900794.html,200
131,http://www.nationalist.ie/news/your-community/158398/Martin-Quinn-is-Tipperary-Person-of.html,4,https://www.tipperarylive.ie/news/your-community/158398/Martin-Quinn-is-Tipperary-Person-of.html,200
132,http://news.findnigeria.com/article/318919_the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda,1,https://www.hugedomains.com/domain_profile.cfm?d=findnigeria&e=com,200
133,http://www.cnn.com/2017/02/26/us/white-helmets-oscar/index.html,23,https://www.cnn.com/2017/02/26/us/white-helmets-oscar/index.html,200
134,https://urs17982.wordpress.com/2017/06/21/whitehelmets-erneut-bei-kriegsverbrechen-beteiligt/,18,https://urs17982.wordpress.com/2017/06/21/whitehelmets-erneut-bei-kriegsverbrechen-beteiligt/,200
135,https://www.riskmap.com/incidents/201816/,7,https://www.riskmap.com/incidents/201816/,200
136,http://investmentwatchblog.com/more-staged-footage-from-the-white-helmets-definitely-not-oscar-worthy/,10,https://www.investmentwatchblog.com/more-staged-footage-from-the-white-helmets-definitely-not-oscar-worthy/,404
137,http://cooptv.wordpress.com/2017/06/21/gekoepfte-menschen-white-helmets-weisshelme-in-syrien-18-jahre/,1,https://cooptv.wordpress.com/2017/06/21/gekoepfte-menschen-white-helmets-weisshelme-in-syrien-18-jahre/,200
138,http://www.middleeasteye.net/news/seven-white-helmets-members-shot-dead-northwestern-syria-1482497348,64,https://www.middleeasteye.net/news/seven-white-helmets-members-shot-dead-northwest-syria,200
139,https://www.usnews.com/news/world/articles/2017-08-12/7-white-helmets-members-shot-dead-in-northwestern-syria,4,https://www.usnews.com/news/world/articles/2017-08-12/7-white-helmets-members-shot-dead-in-northwestern-syria,404
140,https://stj-sy.com/en/view/179,10,https://stj-sy.org/en/179/,200
141,https://worldaffairs.blog/2017/04/04/false-flag-or-fake-chemical-gas-attack-in-syria/,5,https://worldaffairs.blog/2017/04/04/false-flag-or-fake-chemical-gas-attack-in-syria/,200
142,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGDMMsD_shYKgfRlvRN02Xx8rL3Gw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=oAyPWZiVII3G3QHcqbqABA&url=http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,2,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNGDMMsD_shYKgfRlvRN02Xx8rL3Gw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=oAyPWZiVII3G3QHcqbqABA&url=http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html&hl=en-US&gl=US&ceid=US:en,200
143,http://destyy.com/qHDT9I,4,http://destyy.com/qHDT9I,200
144,http://www.metronews.ca/news/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,1,http://www.metronews.ca/news/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,503
145,https://www.theguardian.com/film/2016/dec/20/george-clooney-white-helmets-syria-civil-defence,1,https://www.theguardian.com/film/2016/dec/20/george-clooney-white-helmets-syria-civil-defence,200
146,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=uqOQWeCwD8HR3QG5woqYBA&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,2,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=uqOQWeCwD8HR3QG5woqYBA&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20&hl=en-US&gl=US&ceid=US:en,200
147,https://syrianfreepress.wordpress.com/,1,https://syrianfreepress.wordpress.com/,200
